Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD10017,31-05-2025,03-06-2025,CUST8656,Deanna Davis,Home Office,PROD46854,Calculator,Office Supplies,South,North Carolina,Carlsonburgh,6,2692,15,13729.2,10329.07,3400.13,Credit Card,Cancelled,Navarro Ltd,alexjacobs@evans-johnson.com,39,No,0
ORD10018,22-07-2024,27-07-2024,CUST5922,Erika Miller,Home Office,PROD74297,Bookshelf,Furniture,North,Nevada,South Amy,1,241,20,192.8,127.02,65.78,Net Banking,Pending,"Cervantes, Daniel and Rogers",seth72@mitchell-taylor.biz,7,Yes,50
ORD10019,13-03-2025,16-03-2025,CUST9404,Chelsea Arnold,Corporate,PROD22009,Headphone,Electronics,North,North Carolina,North Lucas,10,2146,10,19314,14624.61,4689.39,Cash,Delivered,Jacobson and Sons,garyyoung@carney.com,39,No,0
ORD10020,04-09-2024,08-09-2024,CUST5854,Grace King MD,Home Office,PROD82790,Calculator,Office Supplies,East,Mississippi,Kimberlyside,9,4522,15,34593.3,22195.23,12398.07,Cash,Pending,"Chase, Melendez and Robles",washley@black-shaffer.com,41,No,0
ORD10021,31-10-2023,01-11-2023,CUST1730,Kathryn Ray,Home Office,PROD38496,Monitor,Electronics,West,Connecticut,North David,5,801,5,3804.75,2517.23,1287.52,Cash,Delivered,Golden-Schneider,mark79@lin-jones.net,28,No,0
ORD10022,22-07-2025,23-07-2025,CUST7988,Todd Hurley,Consumer,PROD55963,Cooking Oil,Glocery,East,New Mexico,Jessicahaven,6,1275,0,7650,6138.22,1511.78,UPI,returned,Butler-Ward,hicksjacob@brooks.com,25,No,0
ORD10023,06-06-2025,07-06-2025,CUST4845,Joseph Abbott,Corporate,PROD54018,Cooking Oil,Glocery,North,Oregon,East Rebeccamouth,9,244,15,1866.6,1505.93,360.67,Net Banking,Delivered,Walker-Williams,psmith@cardenas.org,37,No,0
ORD10024,15-09-2024,21-09-2024,CUST7429,Margaret Ferguson,Consumer,PROD47555,Bookshelf,Furniture,East,California,West Daniel,2,295,15,501.5,419.03,82.47,UPI,Pending,Neal PLC,christina97@aguirre.com,18,No,0
ORD10025,26-04-2025,29-04-2025,CUST9730,Jesse Moore,Corporate,PROD90391,Notebook,Office Supplies,North,New York,Cynthiastad,2,4075,5,7742.5,6596.98,1145.52,UPI,Pending,"Castro, Gonzales and Reid",owenlori@richards-frost.com,21,No,0
ORD10026,30-11-2023,01-12-2023,CUST8732,Alexandra Perez,Home Office,PROD75347,Snacks,Glocery,East,Alaska,Williamsmouth,2,2154,15,3661.8,2921.69,740.11,UPI,returned,"Turner, Landry and Bennett",tjohnson@powell-ramirez.info,10,No,0
ORD10027,11-06-2025,17-06-2025,CUST4383,Daniel Williamson,Home Office,PROD95128,Office Chair,Furniture,North,West Virginia,New Brandyhaven,2,346,15,588.2,503.58,84.62,Credit Card,Pending,Carr Inc,tonya58@payne.com,50,No,0
ORD10028,04-08-2025,05-08-2025,CUST2932,Robert Roberson,Corporate,PROD87704,Juice Pack,Glocery,West,Illinois,Sarachester,10,3205,5,30447.5,21446.91,9000.59,Net Banking,Cancelled,"White, Morrow and Jackson",wilsondaniel@aguilar.com,30,No,0
ORD10029,11-09-2024,12-09-2024,CUST9939,Amanda Hamilton,Corporate,PROD38983,Notebook,Office Supplies,South,Arizona,West Danaborough,1,3464,10,3117.6,2559.16,558.44,UPI,Delivered,"Travis, Salazar and Hill",brandi52@warren-esparza.com,20,No,0
ORD10030,02-09-2025,08-09-2025,CUST8082,Amy Torres,Consumer,PROD23084,Sofa,Furniture,North,South Carolina,Juliebury,7,3181,15,18926.95,11550.46,7376.49,Cash,Cancelled,Jones PLC,samanthabrooks@gonzalez-martin.net,46,No,0
ORD10031,04-09-2025,05-09-2025,CUST3546,Scott Johnson,Consumer,PROD59150,Sofa,Furniture,North,Iowa,West Shannonbury,9,1422,20,10238.4,8628.91,1609.49,Net Banking,Delivered,Wright-Holt,jacob02@woodard-peters.com,34,No,0
ORD10032,03-06-2025,10-06-2025,CUST5656,Mr. Michael Rodgers,Corporate,PROD50894,Rice Bag,Glocery,North,Rhode Island,Port Pamelaborough,4,3756,10,13521.6,8437.5,5084.1,Cash,Delivered,Sanchez-White,holtdavid@curry.com,12,No,0
ORD10033,12-02-2024,15-02-2024,CUST3924,Michelle Bullock,Consumer,PROD29930,Cooking Oil,Glocery,West,Mississippi,Lake Christine,7,495,5,3291.75,2188.03,1103.72,Net Banking,Delivered,Hoffman-Rodriguez,kingdavid@pham.com,45,No,0
ORD10034,28-07-2025,30-07-2025,CUST4079,Jody Warner,Consumer,PROD49293,Calculator,Office Supplies,North,Minnesota,Mitchellhaven,1,3819,5,3628.05,2291.88,1336.17,UPI,Delivered,"Patrick, Jones and Roman",robertgibson@thomas.org,5,Yes,43
ORD10035,25-01-2024,28-01-2024,CUST5625,Susan Lozano,Consumer,PROD35240,Sofa,Furniture,West,Wisconsin,Taylorstad,8,3751,15,25506.8,20977.6,4529.2,Net Banking,Cancelled,Hines-Ruiz,darryl18@mosley.com,16,No,0
ORD10036,16-04-2025,21-04-2025,CUST2434,Justin Lee,Corporate,PROD25736,Stapler,Office Supplies,West,North Carolina,West Russellburgh,6,3793,15,19344.3,12085.82,7258.48,UPI,Cancelled,Jones Ltd,mjefferson@jackson-mitchell.com,11,No,0
ORD10037,06-03-2025,10-03-2025,CUST1290,Miguel Horton,Corporate,PROD27665,File Folder,Office Supplies,East,Michigan,Joymouth,2,1253,10,2255.4,1444.89,810.51,Credit Card,Pending,Phillips-Foster,beth90@jordan-small.com,8,Yes,37
ORD10038,30-01-2024,04-02-2024,CUST9256,Jessica Smith,Home Office,PROD91801,Keyboard,Electronics,West,Maine,Wallacestad,4,2172,20,6950.4,5601.1,1349.3,Credit Card,Delivered,Alvarado Group,nicole53@brooks.com,46,No,0
ORD10039,20-05-2024,23-05-2024,CUST8483,Christine Torres,Home Office,PROD19360,Snacks,Glocery,South,South Carolina,East Jenniferland,3,3546,5,10106.1,7367.34,2738.76,Credit Card,Delivered,"Park, Keller and Villa",katherine08@short.com,13,No,0
ORD10040,27-12-2023,01-01-2024,CUST2237,Lauren Davidson,Corporate,PROD43510,Headphone,Electronics,East,Missouri,Lake John,1,1993,10,1793.7,1241.69,552.01,Net Banking,returned,"Johnson, Martinez and Williams",holdenchristian@rodriguez.com,46,No,0
ORD10041,05-09-2024,09-09-2024,CUST3187,Rebecca Merritt,Corporate,PROD16272,Notebook,Office Supplies,North,Texas,North Kristin,1,2758,5,2620.1,1723.12,896.98,Net Banking,Cancelled,"Garcia, Smith and Carlson",ohuffman@gutierrez.org,8,Yes,28
ORD10042,22-07-2025,24-07-2025,CUST9058,Johnathan Jones,Corporate,PROD23999,Sugar,Glocery,South,Montana,South Matthewfurt,8,320,20,2048,1443.52,604.48,Credit Card,Cancelled,Gordon Inc,dcox@moody-frazier.com,3,Yes,25
ORD10043,03-09-2025,06-09-2025,CUST8481,Rachel Larsen,Consumer,PROD74423,Dining Table,Furniture,North,New Jersey,Camachochester,9,3266,5,27924.3,16970.71,10953.59,Credit Card,Delivered,Dean Ltd,vrollins@nelson-nash.com,38,No,0
ORD10044,19-07-2024,21-07-2024,CUST6905,Matthew Rhodes,Home Office,PROD45385,Laptop,Electronics,East,Ohio,New Charles,4,4124,0,16496,14561.59,1934.41,Cash,Pending,"Cross, Moore and Lee",davismaurice@williams-reeves.com,26,No,0
ORD10045,21-09-2025,23-09-2025,CUST1781,Kathleen Taylor,Consumer,PROD35544,Cooking Oil,Glocery,South,Florida,Vasquezchester,9,3261,15,24946.65,17085.49,7861.16,Credit Card,returned,Wilkins-Davis,schneidertamara@johnson-tran.net,12,No,0
ORD10046,19-11-2023,23-11-2023,CUST4121,Andrew King,Consumer,PROD73560,Sugar,Glocery,West,Indiana,Lake Leslie,2,4256,20,6809.6,4702.06,2107.54,Net Banking,Cancelled,Smith LLC,christopher52@pratt-allen.com,41,No,0
ORD10047,13-09-2024,19-09-2024,CUST1004,Sherry Thompson,Consumer,PROD93105,Sofa,Furniture,West,Wisconsin,Alexanderfurt,1,2513,15,2136.05,1807.8,328.25,UPI,Delivered,Hawkins and Sons,christopherwilliamson@james-lynn.org,16,No,0
ORD10048,16-04-2025,17-04-2025,CUST8738,Madison Sanchez,Consumer,PROD48039,Bookshelf,Furniture,North,Alabama,Port Aliceburgh,10,3399,20,27192,17336.88,9855.12,UPI,Delivered,"Smith, Carter and Perry",suarezmichael@rios.com,21,No,0
ORD10049,29-04-2024,30-04-2024,CUST9183,Chad Wong,Corporate,PROD85708,Bookshelf,Furniture,North,North Carolina,Pagemouth,2,4116,20,6585.6,5671.84,913.76,UPI,Cancelled,"Walter, Smith and Hicks",gail20@miles-lee.com,15,No,0
ORD10050,07-10-2025,12-10-2025,CUST3128,Theresa Lara,Consumer,PROD37356,Office Chair,Furniture,East,North Dakota,East Andrewland,6,2717,20,13041.6,8642.17,4399.43,Credit Card,returned,"Patrick, Smith and Wolf",torrestiffany@hall-hampton.biz,43,No,0
ORD10051,08-05-2024,12-05-2024,CUST9481,Kristopher Davis,Corporate,PROD78673,Notebook,Office Supplies,West,Indiana,Banksborough,9,4825,15,36911.25,32213.7,4697.55,Credit Card,Cancelled,Roberts-Taylor,ybender@lee.net,36,No,0
ORD10052,11-01-2025,13-01-2025,CUST6328,William Carter,Home Office,PROD67146,Juice Pack,Glocery,West,Alaska,Rodneyshire,4,4227,10,15217.2,10471.4,4745.8,Credit Card,Delivered,"Hernandez, Johnson and Mcgee",qcastro@harrison-valentine.net,50,No,0
ORD10053,11-01-2024,17-01-2024,CUST8603,Kristine Marquez,Home Office,PROD16399,File Folder,Office Supplies,West,Florida,Ethanburgh,2,3180,20,5088,4572.79,515.21,Net Banking,Cancelled,Padilla LLC,samanthawagner@petty-franklin.com,14,No,0
ORD10054,07-02-2025,09-02-2025,CUST4912,Stephen Miller,Consumer,PROD67197,Juice Pack,Glocery,East,Rhode Island,Hatfieldbury,2,1735,5,3296.5,2621.81,674.69,UPI,returned,Stephens-Garcia,zhurley@carr-craig.biz,45,No,0
ORD10055,24-11-2024,28-11-2024,CUST7898,Jorge Soto,Home Office,PROD57016,Stapler,Office Supplies,North,Ohio,Jasonview,3,618,20,1483.2,1190,293.2,Net Banking,Cancelled,"Green, Kelly and Beck",corey88@martinez.com,38,No,0
ORD10056,24-06-2024,29-06-2024,CUST7911,Justin Obrien,Consumer,PROD71640,Bookshelf,Furniture,South,Hawaii,West Briantown,7,2834,5,18846.1,12480.26,6365.84,Net Banking,Delivered,"Taylor, Wright and Cantu",angela52@stark-dean.com,26,No,0
ORD10057,02-10-2024,09-10-2024,CUST4606,William Bell,Home Office,PROD42518,Monitor,Electronics,North,Wisconsin,Lake Shannonmouth,2,3663,20,5860.8,4226.41,1634.39,Credit Card,Delivered,Duran-Foley,rodriguezamy@dixon.info,31,No,0
ORD10058,16-09-2024,19-09-2024,CUST3220,Katherine Turner,Corporate,PROD27015,Juice Pack,Glocery,East,Maryland,Mcknighthaven,6,773,15,3942.3,2955.44,986.86,Net Banking,Delivered,"Suarez, Cain and Salinas",michaeldavis@beltran.info,34,No,0
ORD10059,22-05-2025,29-05-2025,CUST1675,Christopher Smith,Consumer,PROD82244,Laptop,Electronics,North,New York,Welchborough,9,421,10,3410.1,2340.12,1069.98,Cash,Pending,Jordan-Miles,nicholaslamb@hernandez.info,11,No,0
ORD10060,03-08-2024,09-08-2024,CUST1914,Anthony Garcia,Consumer,PROD84638,Office Chair,Furniture,South,Oregon,New Jamesfurt,7,4200,20,23520,14766.48,8753.52,Credit Card,Pending,"Molina, Wright and Myers",kylekim@caldwell.biz,26,No,0
ORD10061,16-04-2024,22-04-2024,CUST7314,Jason Adams,Corporate,PROD14414,Snacks,Glocery,North,Missouri,Ronaldchester,1,3139,15,2668.15,2283.82,384.33,UPI,Cancelled,"Peterson, Long and Pierce",qgilmore@campos.info,39,No,0
ORD10062,18-08-2024,20-08-2024,CUST1233,Michele Avery,Home Office,PROD58855,Rice Bag,Glocery,West,Massachusetts,West Clarenceborough,1,1577,15,1340.45,1138.21,202.24,UPI,Cancelled,"Robinson, Lewis and Parker",losborn@fields-simmons.biz,46,No,0
ORD10063,19-06-2024,23-06-2024,CUST6076,Terry Mendoza,Corporate,PROD67573,Pen,Office Supplies,South,Washington,North Charlesberg,10,3184,10,28656,24570.22,4085.78,UPI,Pending,Nelson PLC,dalton56@liu.com,43,No,0
ORD10064,21-04-2024,23-04-2024,CUST6974,Stephen Martin,Corporate,PROD32254,Laptop,Electronics,West,Indiana,West Zacharytown,10,284,10,2556,2227.99,328.01,Net Banking,Cancelled,"Phillips, Carroll and Owens",montgomeryrhonda@kelley.com,12,No,0
ORD10065,23-10-2025,26-10-2025,CUST2796,Francisco Barnett,Home Office,PROD59754,Bookshelf,Furniture,North,Missouri,Greenmouth,5,3371,15,14326.75,12733.32,1593.43,UPI,returned,Curtis-Chapman,sgarcia@blanchard-smith.com,4,Yes,47
ORD10066,20-09-2025,21-09-2025,CUST3025,Jacob Martinez,Corporate,PROD29916,Keyboard,Electronics,North,Arkansas,Johnnyberg,6,2782,15,14188.2,9237.38,4950.82,Net Banking,Cancelled,"Smith, Smith and Ray",stevensjoshua@phillips.info,37,No,0
ORD10067,12-04-2025,15-04-2025,CUST2543,Cheryl Mitchell,Consumer,PROD37476,Cooking Oil,Glocery,East,Arkansas,Samanthaberg,5,1334,10,6003,4048.47,1954.53,Net Banking,Delivered,Anderson-Jackson,ericpena@ward.com,34,No,0
ORD10068,09-12-2024,12-12-2024,CUST2090,Renee Moore,Corporate,PROD98055,Rice Bag,Glocery,South,Arizona,Millermouth,5,2816,10,12672,7716.18,4955.82,Credit Card,Delivered,Morgan and Sons,kmcpherson@walls-richardson.info,26,No,0
ORD10069,09-09-2024,11-09-2024,CUST6068,Samantha Guzman,Consumer,PROD87636,Notebook,Office Supplies,North,Arizona,Dominguezmouth,8,4500,15,30600,27474.84,3125.16,Credit Card,Delivered,Davis Inc,christian79@campos.com,29,No,0
ORD10070,01-07-2024,07-07-2024,CUST4128,Jon Daniels PhD,Home Office,PROD11157,Sugar,Glocery,North,New York,West Susanshire,3,4448,15,11342.4,8695.41,2646.99,Credit Card,returned,Craig and Sons,brianmyers@martinez-kelly.com,1,Yes,20
ORD10071,30-09-2024,04-10-2024,CUST9489,Cindy George,Home Office,PROD48337,Calculator,Office Supplies,West,Rhode Island,Randallchester,5,4281,10,19264.5,13222.05,6042.45,Net Banking,Pending,Bates-Lopez,fernandezthomas@shields-bray.com,48,No,0
ORD10072,20-05-2024,24-05-2024,CUST8685,Nicole Kim,Corporate,PROD59479,Keyboard,Electronics,West,Arkansas,Nicholasport,3,3578,0,10734,6547.7,4186.3,UPI,Cancelled,Newton Ltd,simmonscarlos@grant.com,43,No,0
ORD10073,27-12-2024,31-12-2024,CUST4278,Kelly Sullivan,Home Office,PROD93649,Snacks,Glocery,South,Mississippi,Robinview,10,1795,0,17950,14518.06,3431.94,Cash,returned,Beck Ltd,tkeller@rodriguez.biz,46,No,0
ORD10074,01-06-2024,03-06-2024,CUST4590,Sean Moore,Consumer,PROD23168,Keyboard,Electronics,South,Nebraska,Michellemouth,10,156,5,1482,905.37,576.63,Cash,Delivered,Mcdonald-Sanchez,mariahfuller@adams.com,11,No,0
ORD10075,20-03-2025,22-03-2025,CUST9979,Mary Lowe,Corporate,PROD52374,Headphone,Electronics,South,North Carolina,Allenfurt,10,2389,5,22695.5,18099.02,4596.48,Credit Card,returned,Williams and Sons,brian33@carson.biz,8,Yes,39
ORD10076,17-09-2025,20-09-2025,CUST5726,Ruth Haynes,Consumer,PROD97802,Headphone,Electronics,North,Wyoming,East Molly,2,2024,20,3238.4,2639.13,599.27,UPI,Delivered,Norris Group,timothy75@sawyer-duncan.net,12,No,0
ORD10077,06-04-2025,10-04-2025,CUST3036,Gina Warren,Home Office,PROD96795,Office Chair,Furniture,North,North Carolina,Lake Amanda,3,903,0,2709,2421.8,287.2,Cash,Pending,"Lee, Mccarthy and Hawkins",cmoran@parker-horton.com,21,No,0
ORD10078,09-08-2025,13-08-2025,CUST5781,Jennifer Williams,Consumer,PROD79102,Rice Bag,Glocery,North,Illinois,Robertsborough,3,1652,20,3964.8,3402.82,561.98,Net Banking,Delivered,Campbell-Johnson,zgarcia@taylor.org,41,No,0
ORD10079,27-01-2024,03-02-2024,CUST1696,Mr. Joseph Werner,Consumer,PROD32896,Headphone,Electronics,East,North Dakota,Lake Emily,7,2734,0,19138,16147.17,2990.83,Cash,returned,Norman LLC,yhanna@davenport.com,25,No,0
ORD10080,18-03-2024,19-03-2024,CUST6692,Kristin Johnson,Consumer,PROD17229,Monitor,Electronics,South,Alabama,West Lori,5,1722,0,8610,5248.98,3361.02,Net Banking,returned,Hughes-Murphy,gnelson@chen.com,36,No,0
ORD10081,04-11-2024,05-11-2024,CUST2909,Mark Wilson,Consumer,PROD43309,Calculator,Office Supplies,South,Arizona,Hunterside,8,1922,5,14607.2,10398.37,4208.83,Cash,Cancelled,Brown-Thomas,kwang@duncan-wright.com,3,Yes,32
ORD10082,16-03-2025,20-03-2025,CUST4634,Michelle Jimenez,Home Office,PROD66652,File Folder,Office Supplies,West,Colorado,Lake Deborah,8,4778,5,36312.8,29735.99,6576.81,Credit Card,Delivered,"Lowe, Price and Baker",lauren67@nelson.com,12,No,0
ORD10083,12-04-2025,16-04-2025,CUST8393,Jennifer Powers,Home Office,PROD95070,Calculator,Office Supplies,North,Maine,West Williamberg,3,2143,0,6429,5123.09,1305.91,UPI,returned,Frederick Ltd,kreid@jones.biz,49,No,0
ORD10084,23-11-2023,25-11-2023,CUST6563,Christina Landry,Consumer,PROD20900,Snacks,Glocery,North,Wyoming,Port Elizabethfurt,1,1259,5,1196.05,776.56,419.49,Credit Card,returned,"Brown, Mercer and Wise",dbell@romero.com,30,No,0
ORD10085,25-04-2024,02-05-2024,CUST9877,Rachael Perry,Consumer,PROD30254,File Folder,Office Supplies,East,Mississippi,Boltonstad,4,4861,10,17499.6,14327.12,3172.48,Cash,Pending,"Payne, Paul and Oliver",joshua45@allen.com,22,No,0
ORD10086,29-08-2024,30-08-2024,CUST4320,Bethany Long,Corporate,PROD34915,Rice Bag,Glocery,East,South Carolina,Larrybury,5,3477,0,17385,12437.97,4947.03,UPI,Delivered,Ryan Group,chunter@thompson.com,42,No,0
ORD10087,13-06-2024,20-06-2024,CUST2441,Claire Morrow,Consumer,PROD33733,Bookshelf,Furniture,North,New Hampshire,East Kaitlynmouth,7,4176,5,27770.4,19458.85,8311.55,UPI,Pending,Turner-Koch,fmorgan@collins.biz,37,No,0
ORD10088,02-04-2025,08-04-2025,CUST3402,Kevin Wood,Home Office,PROD39172,Mouse,Electronics,East,Nebraska,Port Danielshire,8,3144,10,22636.8,16250.86,6385.94,Credit Card,Cancelled,Hall Ltd,bmullins@bennett.com,26,No,0
ORD10089,17-05-2025,22-05-2025,CUST9485,Michael Collins,Consumer,PROD96313,Study Table,Furniture,South,Wyoming,Paynechester,2,937,15,1592.9,1432.99,159.91,Net Banking,Cancelled,Molina-Dillon,alexandrabush@acosta.biz,12,No,0
ORD10090,04-09-2024,07-09-2024,CUST5241,Peggy Trujillo,Home Office,PROD24182,Sofa,Furniture,East,South Carolina,Helenstad,3,816,0,2448,2111.67,336.33,Net Banking,Cancelled,"Robinson, Hooper and Garza",zkline@shaw.com,8,Yes,33
ORD10091,30-05-2024,05-06-2024,CUST8101,Jessica Lin,Corporate,PROD59807,Laptop,Electronics,South,Georgia,East Karenton,9,4583,0,41247,26778.24,14468.76,Cash,Pending,"Miller, Werner and Mata",johnsonhector@phillips-garcia.org,12,No,0
ORD10092,24-11-2024,26-11-2024,CUST6913,Nicole Hoffman,Consumer,PROD29063,Calculator,Office Supplies,East,Wyoming,West Davidtown,5,3482,20,13928,8658.45,5269.55,UPI,Pending,Jenkins Group,jake76@gardner-cox.com,27,No,0
ORD10093,31-12-2024,06-01-2025,CUST6078,Steven Daniel,Corporate,PROD81976,Juice Pack,Glocery,East,Massachusetts,Moranshire,6,846,0,5076,3640.43,1435.57,Net Banking,Pending,Wright-Holt,gilbert00@west.com,25,No,0
ORD10094,12-05-2025,14-05-2025,CUST3283,Katrina Wolfe,Corporate,PROD99653,Snacks,Glocery,West,Nebraska,Karenshire,2,707,10,1272.6,882.82,389.78,UPI,Pending,"Turner, Camacho and Graham",timothyparker@andrews.com,6,Yes,46
ORD10095,01-01-2025,07-01-2025,CUST2102,Tonya Russell,Home Office,PROD60766,Keyboard,Electronics,West,Georgia,North Susan,3,3076,20,7382.4,5785.28,1597.12,Credit Card,returned,Leon-Bradley,tina00@peters.net,12,No,0
ORD10096,28-03-2025,31-03-2025,CUST7340,Marie Townsend,Corporate,PROD40805,Mouse,Electronics,North,Indiana,North Betty,6,1563,0,9378,7961.17,1416.83,Credit Card,Pending,Riley and Sons,dale07@lee.net,48,No,0
ORD10097,12-08-2025,14-08-2025,CUST7456,Carrie Hamilton,Home Office,PROD43525,Cooking Oil,Glocery,East,Delaware,Cookhaven,9,4154,15,31778.1,27277.29,4500.81,Cash,Cancelled,Williams-Harrison,maryreid@compton.info,19,No,0
ORD10098,25-03-2025,28-03-2025,CUST2224,Caleb Mann,Corporate,PROD23028,File Folder,Office Supplies,West,Minnesota,Rickyview,8,1570,20,10048,7026.69,3021.31,UPI,Cancelled,Horton LLC,gskinner@turner.com,19,No,0
ORD10099,06-12-2023,10-12-2023,CUST6175,Linda Richmond,Corporate,PROD48572,Mouse,Electronics,East,Texas,Henryland,3,3225,0,9675,6496.05,3178.95,Cash,returned,"Clark, Morgan and Parker",sawyermatthew@carey.org,1,Yes,21
ORD10100,01-06-2024,06-06-2024,CUST3967,Sabrina Porter,Consumer,PROD64882,File Folder,Office Supplies,West,New Hampshire,Langmouth,9,3448,0,31032,20688.19,10343.81,UPI,Pending,Villarreal Inc,kwallace@campbell-collier.biz,46,No,0
ORD10101,26-06-2025,03-07-2025,CUST3438,Carlos Mcneil,Home Office,PROD76961,File Folder,Office Supplies,East,Missouri,New Kimberlyberg,4,955,5,3629,2782.02,846.98,Cash,Pending,Haynes and Sons,baileydavid@ryan.info,42,No,0
ORD10102,30-09-2024,04-10-2024,CUST1055,Mary Bryant,Corporate,PROD91432,Snacks,Glocery,South,South Carolina,Warrenville,7,2601,5,17296.65,11639.61,5657.04,Credit Card,Pending,"Porter, Crane and Tucker",lopezjustin@cox-howard.com,11,No,0
ORD10103,26-11-2023,30-11-2023,CUST1027,Jonathan Ramos,Consumer,PROD57620,Office Chair,Furniture,South,Rhode Island,Rebeccamouth,4,580,5,2204,1642.15,561.85,Net Banking,returned,"Sanchez, Graves and Pierce",ujohnson@becker.com,17,No,0
